                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
 GN-2018B-FT-113-18-015                                          | N20181217S0046.fits                       | 2019-06-17 | 2018-12-17 18:09:05.905511+00 | 3902509bb5d5d757f564395ca5937813
 GN-2018B-FT-113-18-014                                          | N20181217S0045.fits                       | 2019-06-17 | 2018-12-17 18:09:06.670504+00 | 6de72e97f7a63a33985efc5c65db559c
 GN-2018B-FT-113-18-013                                          | N20181217S0044.fits                       | 2019-06-17 | 2018-12-17 18:09:07.413498+00 | c4d0d079e572be867a9855b0ceec9412
 GN-2018B-FT-113-23-004                                          | N20181217S0043.fits                       | 2019-06-17 | 2018-12-17 18:09:10.210474+00 | acd617df706e8675db04fcd130041390
 GN-2018B-FT-113-23-003                                          | N20181217S0042.fits                       | 2019-06-17 | 2018-12-17 18:09:10.878468+00 | 820e9b4428b13012cb9ec9471a832dbd
 GN-2018B-FT-113-23-002                                          | N20181217S0041.fits                       | 2019-06-17 | 2018-12-17 18:09:11.505463+00 | cfb9c5304d2dbe0567f4bfb916c3be61
 GN-2018B-FT-113-23-001                                          | N20181217S0040.fits                       | 2019-06-17 | 2018-12-17 18:09:12.137457+00 | 361034f18c973be25c563a7d6bd063cf
 GN-2018B-FT-113-18-012                                          | N20181217S0039.fits                       | 2019-06-17 | 2018-12-17 18:09:12.791451+00 | 9a5004f6b244044c0d2e7519682ec8fb
 GN-2018B-FT-113-18-011                                          | N20181217S0038.fits                       | 2019-06-17 | 2018-12-17 18:09:13.551445+00 | 8d551ee8b32745c5d21676c69354ddf7
 GN-2018B-FT-113-18-010                                          | N20181217S0037.fits                       | 2019-06-17 | 2018-12-17 18:09:16.342421+00 | 2d716191e77a6a61294bfe483e108877
 GN-2018B-FT-113-18-009                                          | N20181217S0036.fits                       | 2019-06-17 | 2018-12-17 18:09:17.152414+00 | f7a6ac113af7e42aa29b2bfa5a8e40fc
 GN-2018B-FT-113-18-008                                          | N20181217S0035.fits                       | 2019-06-17 | 2018-12-17 18:09:17.958407+00 | a2b25f15f6b958d2082bd46f48e2b6fa
 GN-2018B-FT-113-18-007                                          | N20181217S0034.fits                       | 2019-06-17 | 2018-12-17 18:09:18.828399+00 | f3a522799d416e7462b9ba329e95d4e7
 GN-2018B-FT-113-18-006                                          | N20181217S0033.fits                       | 2019-06-17 | 2018-12-17 18:09:19.590393+00 | a30db1493c47190469acc13db466ed7d
 GN-2018B-FT-113-18-005                                          | N20181217S0032.fits                       | 2019-06-17 | 2018-12-17 18:09:20.384386+00 | 1d4c4d7ee57066f2db67685cc745b845
 GN-2018B-FT-113-18-004                                          | N20181217S0031.fits                       | 2019-06-17 | 2018-12-17 18:09:21.236379+00 | 458ba379a5d29622bcb846a75aa35f18
 GN-2018B-FT-113-18-003                                          | N20181217S0030.fits                       | 2019-06-17 | 2018-12-17 18:09:21.983372+00 | 62ba5a4178e6d54cbf1089a5d21a8e6e
 GN-2018B-FT-113-18-002                                          | N20181217S0029.fits                       | 2019-06-17 | 2018-12-17 18:09:22.735366+00 | 225972289385eccc084cb57d027999df
 GN-2018B-FT-113-18-001                                          | N20181217S0028.fits                       | 2019-06-17 | 2018-12-17 18:09:23.486359+00 | d3dcad64b2c883f1f25cc7ceb550c542
 GN-2018B-FT-113-17-004                                          | N20181217S0027.fits                       | 2019-06-17 | 2018-12-17 18:09:26.239336+00 | 019dd752a1d45cd8d4a290bdcde827c4
 GN-2018B-FT-113-17-003                                          | N20181217S0026.fits                       | 2019-06-17 | 2018-12-17 18:09:26.92433+00  | a9b485b14c8a4e1d7a93eaf82e3daaca
